"Timestamp","What is the best place in Jordan Hall to get drunk?","Which 1st year is most likely to fall asleep in class?","What do the 2nd years excel at?","Which 1st year is most likely to go wild at a party?","What are the biggest impediments to research?","Most common FYP problems?","How many years does it take to finish your core classes?","What was the first years' boldest move?","Who did the best job of naming their first-born?","Who is most likely to start a question with ""sorry""?","Who is most likely to swear in lab / colloquium?","Most likely to have driven their parents crazy by asking ""why"" all the time?","What career is your PhD REALLY preparing you for?","1st year most likely to wake up in their office/lab/CNI?","What movie best represents grad school?","Which faculty member is most likely secret BFFs with Beyonce?","What is the worst thing about the beautiful Stanford campus?","Most likely to moonlight as a zombie slayer?","What is the top quote from emails sent by Roz?","What animal does Jay remind you of?","Most difficult professor to set a meeting with?","Secretly a member of a successful boy/girl band?","Most likely to replicate the prison experiment?","If our department were to make merchandise, it would be...?","Most likely to say something inappropriate to a participant?","What is the most common illicit activity in the psych department?","Which faculty member is the most likely to be mistaken for a grad student?","Most common complaint of first years?","Best faculty couple?","Most likely place for Phil Zimbardo to secretly watch you?","What R library is the best?","Herb Clark is most likely to be found…","Best dressed lab?","Who is most likely to be the next Zuckerberg?"
"2018/05/17 7:55:42 AM MDT","Alone in the privacy of your own offices","Lee","NOT being first years","Emily Fay","Life","I got 99 problems and FYP is all of them.","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Noah (R Malachai)","James Gross","Russ","Ian E.","Nothing","Emily fay","A Series of Unfortunate Events","Carol","It's a country club in disguise","Catherine with a C","THE HAND TRUCK HAS BEEN FOUND","Kitten","David Starr Jordan","Claude Steele","Roz","Zimbardo masks","Ian E.","Illegal textbook downloads","Hyo","Being a first year","Brian & Jeanne","He has eyes everywhere","tidyverse","everywhere","Poldrack Lab (i.e. Ian E.)","Michael Henry"
"2018/05/17 8:10:52 AM MDT","FriSem (drink every time Herb asks a question)","","Stealing code from the 3rd years for FYP clinic games","Emily Fay","Life","Having to go to a stupid clinic","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Making their own t-shirts","Amit (Talma)","Tyler","Lee, because the speaker ran over","Tyler","App Academy","","The Hunger Games","Laura","Caterpillars","Pam","THE HAND TRUCK HAS BEEN FOUND","Moose","Laura","","Roz","Growth mindset posters/books/shirts/cups/...","Ian E.","Tax evasion","Hyo","Being a first year","Mike & Noah","Poster in your office","lme4","everywhere","Poldrack Lab (i.e. Ian E.)","Ben"
"2018/05/17 9:36:08 AM MDT","The lounge on the free wine after colloquium","I don't like the questions about first years (or even about individual students generally) because they are often hard for the group to answer during the clinic, they're often not that funny and they can make people feel singled out. Plus they're impossible to answer for older students who haven't interacted much with the first years. General questions about the dept (core courses, fyp, roz emails, research, faculty) seem more inclusive/relevant to everyone, I would advocate for only using these","NOT being first years","","Life","I got 99 problems and FYP is all of them.","3","Choosing Stanford","Yochai (Alma)","Brian Knutson","","","App Academy","","Groundhog Day","Carol","Separation from any kind of life","Catherine with a C","Unclaimed package for ...","","Everyone","Marc","","Growth mindset posters/books/shirts/cups/...","","Tax evasion","Hyo","Impostor syndrome","Brian & Jeanne","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Frank Lab","Noah Goodman"
"2018/05/17 9:36:59 AM MDT","FriSem (drink every time Herb asks a question)","","Life","Emily Fay","Life","Having data so bad you can't even p-hack it","3","Making their own t-shirts","Noah (R Malachai)","Erik","Benoit","Tyler","The eternal postdoc","Nathan","Ferris Bueller's Day Off","Claude Steele","Caterpillars","Catherine with a C","Poster printer broken","Honey Badger","Jennifer","Erik","Roz","Growth mindset posters/books/shirts/cups/...","Lee","Arson (starting with burning FYP)","Hyo","Impostor syndrome","Carol & Greg","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","","Noah Goodman"
"2018/05/17 9:52:54 AM MDT","The FYP clinic","Danielle","NOT being first years","Emily Fay","Life","I got 99 problems and FYP is all of them.","3","Making their own t-shirts","Yochai (Alma)","Erik","Jay","Tyler","The eternal postdoc","Erik","The Hunger Games","Carol","Caterpillars","Catherine with a C","Found: Cash monies OR Found: Vape pen ","Honey Badger","Jennifer","Marc","Roz","Commemorative wines","Lee","Arson (starting with burning FYP)","Steven Roberts","Having FYP clinics that don't actually tell you anything about the FYP","Jennifer & Hazel","He has eyes everywhere","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Ben"
"2018/05/17 10:38:06 AM MDT","The lounge on the free wine after colloquium","Nathan","NOT being first years","Danielle","TAing","Not having data","3","Making their own t-shirts","Ali (TBD)","James Gross","Lee, because the speaker ran over","Erik","The eternal postdoc","Marc","Groundhog Day","Jeanne","Tourists","Catherine with a C","keys found in the ladies' bathroom","Squirrel","Jennifer","Cinoo","Nathan","Psych 1 swag","Erik","Illegal textbook downloads","Steven Roberts","Impostor syndrome","Laura & Ian","Poster in your office","tidyverse","in colloquium","Dweck Lab (i.e. Carol)","Noah Goodman"
"2018/05/17 11:03:40 AM MDT","Alone in the privacy of your own offices","Ben","Stealing code from the 3rd years for FYP clinic games","Emily Fay","365 Days of Summer (except for this year)","Not having data","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Noah (R Malachai)","Erik","Lee, because the speaker ran over","Tyler","Marrying up","Ben","Titanic","Laura","Too beautiful","Mika","THE HAND TRUCK HAS BEEN FOUND","Honey Badger","Jennifer","Cinoo","Nathan","Commemorative wines","Ian E.","P-hacking","Hyo","Core classes","Mike & Noah","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Frank Lab","Ben"
"2018/05/17 1:10:58 PM MDT","The FYP clinic","Danielle","Stealing code from the 3rd years for FYP clinic games","Emily Fay","TAing","I got 99 problems and FYP is all of them.","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Noah (R Malachai)","Erik","Lee, because the speaker ran over","Ian E.","Marrying up","Nathan","Groundhog Day","Carol","Tourists","Catherine with a C","THE HAND TRUCK HAS BEEN FOUND","Honey Badger","Jennifer","Danielle","Ben","Growth mindset posters/books/shirts/cups/...","Sean","P-hacking","Steven Roberts","Impostor syndrome","Brian & Jeanne","Behind the mirror in the 2nd floor bathroom","ggplot2","everywhere","Dweck Lab (i.e. Carol)","Katherine with a K"
"2018/05/17 2:13:05 PM MDT","The FYP clinic","Nathan","NOT being first years","","TAing","I got 99 problems and FYP is all of them.","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Making their own t-shirts","Amit (Talma)","Erik","Lee, because the speaker ran over","","The eternal postdoc","","Groundhog Day","Carol","Separation from any kind of life","Catherine with a C","","Honey Badger","","Cinoo","Dawn","Zimbardo masks","Lee","Illegal textbook downloads","Hyo","Stats","Mike & Noah","He has eyes everywhere","lme4","everywhere","Poldrack Lab (i.e. Ian E.)","Noah Goodman"
"2018/05/17 2:59:31 PM MDT","In the CNI while your participant is running","Nathan","NOT being first years","Erik","Your advisor","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Amit (Talma)","James Gross","Lee, because the speaker ran over","Ian E.","Marrying up","Marc","Titanic","Carol","Separation from any kind of life","Pam","keys found in the ladies' bathroom","Honey Badger","Jennifer","Erik","Nathan","Growth mindset posters/books/shirts/cups/...","Ian E.","Tax evasion","Steven Roberts","Having FYP clinics that don't actually tell you anything about the FYP","Carol & Greg","... in your sleep","car","everywhere","Dweck Lab (i.e. Carol)",""
"2018/05/17 5:56:50 PM MDT","Alone in the privacy of your own offices","Nathan","NOT being first years","Nathan","Your advisor","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Amit (Talma)","Tyler","Jay","Tyler","Nothing","Nathan","Titanic","James Gross","Too beautiful","Marc","keys found in the ladies' bathroom","Honey Badger","Jennifer","Claude Steele","Roz","Psych 1 swag","Lee","Tax evasion","Hyo","Having FYP clinics that don't actually tell you anything about the FYP","Mike & Noah","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Poldrack Lab (i.e. Ian E.)","Ben"
"2018/05/17 8:35:36 PM MDT","The lounge on the free wine after colloquium","Nathan","Being the most stressed cohort","Tiffany","Your advisor","Having to go to a stupid clinic","3","Making their own t-shirts","Noah (R Malachai)","Ian Gotlib","Benoit","Tyler","The eternal postdoc","Nathan","Black Panther","Claude Steele","It's a country club in disguise","Catherine with a C","BYOP","Moose","Noah","Cinoo","Roz","Growth mindset posters/books/shirts/cups/...","Lee","Illegal textbook downloads","Hyo","Being a first year","Carol & Greg","Poster in your office","tidyverse","everywhere","Poldrack Lab (i.e. Ian E.)","Noah Goodman"
"2018/05/17 11:47:25 PM MDT","In the CNI while you are the participant","","Life","Dawn","Life","Having to go to a stupid clinic","5","Making their own t-shirts","Justin (Sola)","","Brian Wandell","Tyler","Marrying up","","A Series of Unfortunate Events","Jeanne","","","THE HAND TRUCK HAS BEEN FOUND","","","","","Growth mindset posters/books/shirts/cups/...","","Arson (starting with burning FYP)","Hyo","Impostor syndrome","Mike & Noah","","","","Poldrack Lab (i.e. Ian E.)",""
"2018/05/18 11:21:04 AM MDT","Alone in the privacy of your own offices","Marc","Being the most stressed cohort","Ben","TAing","Not having data","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Ali (TBD)","James Gross","Brian Wandell","Dawn","Marrying up","Tiffany","Titanic","Mike","Caterpillars","Pam","THE HAND TRUCK HAS BEEN FOUND","Honey Badger","Laura","Claude Steele","Cinoo","Zimbardo masks","Lee","Illegal textbook downloads","Hyo","Impostor syndrome","Carol & Greg","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Noah Goodman"
"2018/05/18 11:23:25 AM MDT","In the CNI while your participant is running","Dawn","Being the most stressed cohort","Dawn","Your advisor","Not having data","7","Naming their own cohort","Amit (Talma)","James Gross","Jay","Tyler","App Academy","Dawn","The Hunger Games","Carol","Caterpillars","Catherine with a C","If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself.","","David Starr Jordan","Claude Steele","Rosemary","Zimbardo masks","Ian E.","Illegal textbook downloads","Steven Roberts","Impostor syndrome","Carol & Greg","... in your sleep","tidyverse","running in front of Jordan in the morning","Poldrack Lab (i.e. Ian E.)","Noah Goodman"
"2018/05/18 11:37:42 AM MDT","Alone in the privacy of your own offices","Nathan","Life","Emily Fay","Your advisor","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Ali (TBD)","Erik","Jeanne","Tyler","Marrying up","Dawn","A Series of Unfortunate Events","Claude Steele","Caterpillars","Mika","Poster printer broken","Kitten","Hazel","Tiffany","Cinoo","Commemorative wines","Lee","Tax evasion","Hyo","Being a first year","Mike & Noah","Behind the mirror in the 2nd floor bathroom","LaCroixColoR","running in front of Jordan in the morning","Dweck Lab (i.e. Carol)","Katherine with a K"
"2018/05/18 4:40:51 PM MDT","In the CNI while your participant is running","Danielle","NOT being first years","Marc","Your advisor","I got 99 problems and FYP is all of them.","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Making their own t-shirts","Justin (Sola)","James Gross","Brian Wandell","Nathan","Nothing","Marc","Titanic","James Gross","Tourists","Pam","THE HAND TRUCK HAS BEEN FOUND","Squirrel","Everyone","Nathan","Dawn","Zimbardo masks","Jackie","Tax evasion","Hyo","Impostor syndrome","Mike & Noah","Behind the mirror in the 2nd floor bathroom","tidyverse","in outer space","Poldrack Lab (i.e. Ian E.)","Noah Goodman"
"2018/05/18 10:25:23 PM MDT","The FYP clinic","None. They are wired on caffeine.","NOT being first years","Danielle","The 2nd years pestering you about ""family freud"" questions","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Making their own t-shirts","Yochai (Alma)","Erik","Herb","Ian E.","Nothing","","Groundhog Day","James Gross","Caterpillars","Mika","Someone found a vaporizer pen on the first floor...","Moose","Geoff","Claude Steele","Cinoo","Zimbardo masks","Lee","Tax evasion","Steven Roberts","Being a first year","Brian & Jeanne","... in your sleep","ggplot2","everywhere","Dweck Lab (i.e. Carol)","Ben"
"2018/05/19 3:51:14 PM MDT","The lounge on the free wine after colloquium","Dan (4th year)","NOT being first years","","365 Days of Summer (except for this year)","Not having data","3","why so many questions about first years? Family freud is supposed to get them aquanted with inside jokes about the department.. and create a sense that they're now in the know / belong. Not supposed to be a hazing about which first years drink / sleep.","Yochai (Alma)","Erik","Benoit","","The eternal postdoc","we get it ... they sleep.","Groundhog Day","Carol","It's a country club in disguise","","BYOP","Honey Badger","Jennifer","Cinoo","Roz","Growth mindset posters/books/shirts/cups/...","Lee","Tax evasion","Hyo","Impostor syndrome","Brian & Jeanne","... in your sleep","lme4","everywhere","",""
"2018/05/21 9:06:11 AM MDT","The lounge on the free wine after colloquium","Danielle","Stealing code from the 3rd years for FYP clinic games","Emily Fay","Your advisor","Having data so bad you can't even p-hack it","5","Naming their own cohort","Noah (R Malachai)","Erik","","","The eternal postdoc","","A Series of Unfortunate Events","Hazel","It's a country club in disguise","","THE HAND TRUCK HAS BEEN FOUND","Honey Badger","Jennifer","Cinoo","","Growth mindset posters/books/shirts/cups/...","","Moonshine in the 5th floor bathroom","Steven Roberts","Having FYP clinics that don't actually tell you anything about the FYP","Mike & Noah","He has eyes everywhere","tidyverse","in social lab","Dweck Lab (i.e. Carol)",""
