Most likely to start a start-up?,Ali,Zimbardo,Russ,Ali,"Herbz by Herb: Herb-curated selection of cannabis, delivered to your door",Zimbardo,Herb,Herb,Geoff,Russ,Herb,Russ,Gordon Bower,Gordon Bower,Herb,Gordon Bower,Zimbardo,Ali,Ali,Ali,Ali,Ali,Ali,Herb,Ali,Wandell,Ali,Russ,Gordon Bower,Russ,Gordon Bower,Zimbardo,Russ,Josiahhh
Best dressed lab?,Dweck Lab (i.e. Carol),Poldrack Lab (i.e. Ian E.),Dweck Lab (i.e. Carol),CCL (obvs),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Poldrack Lab (i.e. Ian E.),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Poldrack Lab (i.e. Ian E.),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Poldrack Lab (i.e. Ian E.),Frank Lab,don't ask this,Frank Lab,Poldrack Lab (i.e. Ian E.),Dweck Lab (i.e. Carol),Dweck Lab (i.e. Carol),Poldrack Lab (i.e. Ian E.),Poldrack Lab (i.e. Ian E.),Poldrack Lab (i.e. Ian E.),Poldrack Lab (i.e. Ian E.),Dweck Lab (i.e. Carol),Norcia lab,Goodman Lab,Dweck Lab (i.e. Carol),Zaki Lab (i.e. Jamil),Dweck Lab (i.e. Carol)
What is the first years' signature snack?,Kari's vodka & latkes,Vending machine coffee,Leftovers in lounge,Kari's vodka & latkes,Leftovers in lounge,Vending machine coffee,Kari's vodka & latkes,Vending machine coffee,Leftovers in lounge,Leftovers in lounge,Kari's vodka & latkes,Leftovers in lounge,Pam's green tea cake,apparently soylent,Pam's green tea cake,Leftovers in lounge,Kari's vodka & latkes,Pam's green tea cake,Pam's green tea cake,Leftovers in lounge,Leftovers in lounge,Kari's vodka & latkes,Leftovers in lounge,Kari's vodka & latkes,Kari's vodka & latkes,Leftovers in lounge,Leftovers in lounge,Kari's vodka & latkes,Kari's vodka & latkes,Leftovers in lounge,Pam's green tea cake,Leftovers in lounge,Kari's vodka & latkes,Leftovers in lounge
What is the worst thing about the beautiful Stanford campus?,It's a country club in disguise,Lack of life around,Caterpillars,Caterpillars,Too many undergrads around,Caterpillars,Too beautiful,Caterpillars,Caterpillars,Lack of life around,It's a country club in disguise,It's a country club in disguise,Too many undergrads around,It's a country club in disguise,Too many undergrads around,Caterpillars,It's a country club in disguise,Too beautiful,It's a country club in disguise,Too beautiful,It's a country club in disguise,Caterpillars,Too many undergrads around,Too many undergrads around,It's a country club in disguise,Caterpillars,Too many undergrads around,Caterpillars,It's a country club in disguise,Lack of life around,Too beautiful,It's a country club in disguise,It's a country club in disguise,It's a country club in disguise
Most popular drink at 1st years' prospectives party (last year)?,Positive Affect,Water,Positive Affect,Positive Affect,Positive Affect,Positive Affect,Positive Affect,Positive Affect,Positive Affect,Positive Affect,Negative Affect,Positive Affect,Negative Affect,Soylent,Lester's mysterious tea,Water,Positive Affect,Negative Affect,Positive Affect,Water,Water,Soylent,Lester's mysterious tea,Lester's mysterious tea,Soylent,Positive Affect,Soylent,Lester's mysterious tea,Water,Negative Affect,Lester's mysterious tea,Negative Affect,Lester's mysterious tea,Lester's mysterious tea
Who did the best job of naming their first-born?,Noah Goodman (R),Jamil,Noah named his child R,Jamil,Jamil,hahahaha,Noah,Jamil,how do people have time to have kids?,Jamil,Jamil,Jamil,Yochai,Noah,Jamil,Noah Goodman,Jamil,Yochai,Noah,noah,Jamil,Yochai,Noah,Yochai,Yochai,Jamil,Yochai,Yochai,"NOAH GOODMAN, who named his first-born ""R Malachai Vladimir Goodman"", why is this not an option?????",Jamil,Jamil,Jamil,Jamil,Yochai
How many years does it take to finish your core classes?,What is a core class?,What is a core class?,7,5,Depends on if affective is offered this year,What is a core class?,3,3,3,5,Let's make a committee to eliminate the core,3,4,5,7,7,5,3,Let's make a committee to eliminate the core.,I liked n+1,5,Let's make a committee to eliminate the core.,Let's make a committee to eliminate the core.,Let's make a committee to eliminate the core.,3,5,What is a core class?,Let's make a committee to eliminate the core.,3,Let's make a committee to eliminate the core.,Let's make a committee to eliminate the core.,5,WHAT ARE ELECTIVES??!,7
Who is most likely to swear in lab / colloquium?,Kody,Russ,Russ,Jay,Lee,Russ,Jay,Jay,Ewart,Russ,Greg,Russ,Russ,Carol,Ewart,Jay,Jay,Jay,Ewart,Russ,Jay,Russ,Ewart,Herb,Ewart,Ewart,Russ,Jay,Ewart,Brian Wandell,Russ,Jay,Russ,Carol
What are the top quotes from emails sent by Roz?,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",BYOP,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",keys found in the ladies' bathroom,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",package for sameer wasson,package for sameer wasson,package for sameer wasson,"""Missing Bottles of Water on My Desk Area""","If you are not are aware, my desk area is not a free for all",BYOP,keys found in the ladies' bathroom,package for sameer wasson,what happened to the personal knife one?,package for sameer wasson,"Hello,  Are you looking for the perfect size storage box to store papers or  moving boxes, there are empty xerox boxes with tops available for the  taking outside room 542.  OR Someone has decided to grab bottles of waters that was on my desk this  afternoon.  If you are not are aware, my desk area is not a free for  all.  Please do not remove items that do not belong to you from my  personal space without asking. OR The plan is to work both sides of the table.",keys found in the ladies' bathroom,"""you can pick it up at the front desk in the main office Monday-Friday 8am-12pm and 1pm-4:45pm."" and ALSO sameer wasson",package for sameer wasson,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.","If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",package for sameer wasson,BYOP,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",BYOP,"The generic ""X found in <insert hilarious location>""",spectra is broken,package for sameer wasson,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",BYOP,"If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself.",spectra is broken,"Someone has decided to grab bottles of waters that was on my desk this afternoon.  If you are not are aware, my desk area is not a free for all.  Please do not remove items that do not belong to you from my personal space without asking.","If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself. of the photo copier room. Please help yourself."
Herb Clark is most likely to be found…,in social lab,in outer space,everywhere,f*ing everything,in social lab,colloquium,running in front of Jordan in the morning,in social lab,in social lab,in frisem,in social lab,in outer space,running in front of Jordan in the morning,in social lab,in frisem,Everywhere,in frisem,colloquium,in outer space,all of above,Anywhere if you're in a hurry and he wants to chat.,in frisem,in social lab,everywhere,in frisem,in frisem,in social lab,in outer space,running in front of Jordan in the morning,Somewhere with food,in your face,running in front of Jordan in the morning,in social lab,in frisem
What are the biggest impediments to research?,Life,Life,TAing,Your advisor,Your advisor,Life,Your advisor,Your advisor,365 Days of Summer,TAing,Life,What is research,What is research,not enough grit,What is research,Grad school,TAing,Your advisor,Life,Your advisor,Life,Your advisor,Life,What is research,Class,"Talks, talks everywhere!",TAing,365 Days of Summer,365 Days of Summer,Your advisor,Your advisor,365 Days of Summer,Grad school,What is research
Best faculty couple?,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Mike & Noah,Brian & Jeanne,Brian & Jeanne,Mike & Noah,Carol & Greg,Carol and Ellen,Herb & Herb,Mike & Noah,Laura & Ian,Mike & Noah,who's melina,Carol & Greg,Mike & Noah,Mike & Noah,Mike & Noah,Brian & Jeanne,Melina & Kevin,Carol & Greg,Mike & Noah,Mike & Noah,Mike & Noah,Brian & Jeanne,James and Ian,Carol & Greg,Carol & Greg
What do the 2nd years excel at?,Not being productive,Not being productive,Not being productive,Writing letters,Hating on grad school,Hating on grad school,Hosting FYP clinics,NOT being first years,NOT being first years,NOT being first years,Hosting FYP clinics,NOT being first years,Hating on grad school,NOT being first years,Hosting FYP clinics,NOT being first years,NOT being first years,Being big sibs,Hating on grad school,don't ask this,Being big sibs,Hosting FYP clinics,NOT being first years,NOT being first years,Life,Still having hope,Life,NOT being first years,Life,Not being productive,Hating on grad school,Life,NOT being first years,NOT being first years
Which first year is most likely to go wild at a party?,Craig Williams,Jesse,Craig Williams,Craig Williams,Min Young,Yochai,Kari,Kari,"look around, you'll see",Jesse,Kari,Jesse,Pam,Craig Williams,Min Young,Craig Williams,Kari,Min Young,Min Young,Craig Williams,Craig Williams,Min Young,Min Young,Craig Williams,Kari,Mona,Craig Williams,Craig Williams,Kari,Craig Williams,Craig Williams,Craig Williams,Craig Williams,Min Young
Who is most likely to moonlight as a zombie slayer?,Cayce,Erin,Cayce,Cayce,Cayce,Min Young,Zeynep,Cayce,Ellen Markman,Erin,Cayce,Zeynep,Erin,"Now that I think about it, all these people seem likely candidates",Lester,Cayce,Erin,Cayce,Min Young,Zeynep,Zeynep,Zeynep,Pam,Zeynep,Erin,Zeynep,Cayce,Min Young,Erin,Cayce,Min Young,Min Young,Zeynep,Cayce
Which faculty member is the most likely to be mistaken for a grad student?,Ali,Hyo,Hyo,Hyo,Hyo,Hyo,Hyo,Jamil,Jamil,Hyo,Mike,Jamil,Hyo,Hyo,Hyo,Hyo,Hyo,Hyo,Hyo,Hyo,Greg,Hyo,Hyo,Hyo,Hyo,Jamil,Ali,Jamil,Ali,Noah,Hyo,Jamil,Rav,Hyo
What is Jay's spirit animal?,Nubian Ibex,Nubian Ibex,Badger,Beaver,Nubian Ibex,Badger,Badger,Kitten,Tarsier,Mountain goat,Mountain goat,Mountain goat,Kitten,Mountain goat,Nubian Ibex,Badger,Snowy owl,Kitten,Beaver,Badger,Beaver,Mountain goat,Squirrel,Badger,Nubian Ibex,Nubian Ibex,Mountain goat,Badger,Mountain goat,Squirrel,Nubian Ibex,Squirrel,Nubian Ibex,Badger
Which faculty member most likely to run for president?,Jamil,Carol,Ewart,James,Jamil,Ian,Ellen,Carol,Ewart,Carol,Carol,James,Ellen,Carol,Ian,James,Carol,Jamil,James,Jamil,James,dunno,Carol,Jamil,James,James,James,James,Carol,Ewart,Jamil,Jamil,Jamil,Ian
What career is your PHD REALLY preparing you for?,Forever a post-doc,None,App Academy,Forever a post-doc,Marrying up,App Academy,Marrying up,Marrying up,PHD is my career,Forever a post-doc,Marrying up,Forever a post-doc,App Academy,None,Marrying up,None,Marrying up,Marrying up,Marrying up,App Academy,Forever a post-doc,Marrying up,Forever a post-doc,Marrying up,Faculty,Irregular eating,Uber,Marrying up,App Academy,None,Marrying up,Faculty,Marrying up,Marrying up
Who is most likely to guest star on 'Game of Thrones'?,Ewart,Noah,Carol,Herb,Ellen,Ellen,Ali,Noah,Ellen,Noah,Carol,Noah,Ali,Ellen,Carol,Ellen,Noah,Carol,Ellen,Noah,Carol,Ellen,Ellen,Ellen,Herb,Ellen,James McClelland,Ellen,Herb,Herb,Noah,Carol,Ellen,Laura
Which 1st year is most likely to fall asleep in class?,Lester,Mona,Mona,Lester,Min Young,Mona,Yochai,Lester,Monica (in a year),Lester,Mona,Monica (in a year),Monica (in a year),you guys still go to class?,Monica (in a year),Lester,Lester,Mona,Min Young,Mona,Min Young,Min Young,Lester,Monica (in a year),Mona,Monica (in a year),Mona,Mona,All of them,Lester,Yochai,Mona,Mona,Mona
Grad student most likely to replicate the prison experiment?,Waskom,Jason,Rosemary,Waskom,Waskom,Waskom,Waskom,Robert,Jason,Robert,Eric,Ian,Waskom,Waskom,Waskom,Waskom,Eric,Waskom,Robert,don't ask this,Waskom,Eric,Robert,can't be replicated,Waskom,Robert,Rosemary,Rosemary,Waskom,Waskom,Robert,Ian,Waskom,Jason
